#string_protein_id | preferred_name | protein_size
9606.ENSP00000259335 | ECPAS | 2017
9606.ENSP00000259339 | TOR1B | 336
9606.ENSP00000259351 | RALGPS1 | 557
9606.ENSP00000259357 | OR1J1 | 322
9606.ENSP00000259362 | OR13C9 | 318
9606.ENSP00000259365 | TMOD1 | 359
9606.ENSP00000259371 | DAB2IP | 1132
9606.ENSP00000259392 | SLC31A2 | 143
9606.ENSP00000259396 | ORM1 | 201
9606.ENSP00000259400 | STX17 | 302
9606.ENSP00000259407 | BAAT | 418
9606.ENSP00000259455 | GABBR2 | 941
9606.ENSP00000259456 | HEMGN | 484
9606.ENSP00000259457 | PSMB7 | 277
9606.ENSP00000259466 | OR1L4 | 311
9606.ENSP00000259467 | PDCL | 301
9606.ENSP00000259469 | RPL35 | 123
9606.ENSP00000259470 | CTSV | 334
9606.ENSP00000259486 | ENPP2 | 915
9606.ENSP00000259512 | DERL1 | 251
9606.ENSP00000259526 | CCN3 | 357
9606.ENSP00000259569 | RANBP6 | 1105
9606.ENSP00000259605 | RNF38 | 515
9606.ENSP00000259607 | CCL21 | 134
9606.ENSP00000259608 | SIT1 | 196
9606.ENSP00000259631 | CCL27 | 112
9606.ENSP00000259632 | DCTN3 | 186
9606.ENSP00000259633 | CD72 | 359
9606.ENSP00000259667 | HINT2 | 163
9606.ENSP00000259698 | RIPOR2 | 1068
9606.ENSP00000259708 | KLC4 | 637
9606.ENSP00000259711 | KIF13A | 1805
9606.ENSP00000259727 | GMPR | 345
9606.ENSP00000259746 | TMEM63B | 832
9606.ENSP00000259750 | TTBK1 | 1321
9606.ENSP00000259782 | TINAG | 476
9606.ENSP00000259803 | GCM1 | 436
9606.ENSP00000259808 | RIPK1 | 671
9606.ENSP00000259818 | TUBB2B | 445
9606.ENSP00000259845 | PSORS1C2 | 136
9606.ENSP00000259870 | C6orf15 | 325
9606.ENSP00000259873 | MRPS18B | 258
9606.ENSP00000259874 | IER3 | 156
9606.ENSP00000259881 | PSORS1C1 | 152
9606.ENSP00000259883 | PGBD1 | 809
9606.ENSP00000259895 | GTF2H4 | 462
9606.ENSP00000259915 | POU5F1 | 360
9606.ENSP00000259938 | CLPS | 112
9606.ENSP00000259939 | RNF144B | 303
9606.ENSP00000259951 | HLA-F | 442
9606.ENSP00000259953 | NRM | 262
9606.ENSP00000259963 | FAM8A1 | 413
9606.ENSP00000259983 | C6orf52 | 152
9606.ENSP00000259989 | FGFBP2 | 223
9606.ENSP00000260010 | TLR2 | 784
9606.ENSP00000260045 | THAP12 | 761
9606.ENSP00000260102 | MRPL15 | 296
9606.ENSP00000260113 | PI15 | 258
9606.ENSP00000260116 | TTPA | 278
9606.ENSP00000260118 | GGH | 318
9606.ENSP00000260126 | SLCO5A1 | 848
9606.ENSP00000260128 | SULF1 | 871
9606.ENSP00000260129 | TGS1 | 853
9606.ENSP00000260184 | DDX60L | 1706
9606.ENSP00000260187 | USP2 | 605
9606.ENSP00000260191 | HTR3B | 441
9606.ENSP00000260197 | SORL1 | 2214
9606.ENSP00000260210 | BUD13 | 619
9606.ENSP00000260227 | MMP7 | 267
9606.ENSP00000260228 | MMP20 | 483
9606.ENSP00000260229 | MMP27 | 513
9606.ENSP00000260247 | DCUN1D5 | 237
9606.ENSP00000260257 | FDXACB1 | 624
9606.ENSP00000260264 | POU2F3 | 438
9606.ENSP00000260270 | FDX1 | 184
9606.ENSP00000260276 | C11orf1 | 150
9606.ENSP00000260283 | ARHGAP20 | 1191
9606.ENSP00000260302 | MMP13 | 471
9606.ENSP00000260323 | UNC13C | 2214
9606.ENSP00000260327 | CTDSPL2 | 466
9606.ENSP00000260356 | THBS1 | 1170
9606.ENSP00000260361 | NDUFAF1 | 327
9606.ENSP00000260363 | KIF23 | 960
9606.ENSP00000260372 | HAUS2 | 235
9606.ENSP00000260383 | TUBGCP4 | 667
9606.ENSP00000260385 | RMDN3 | 470
9606.ENSP00000260386 | ITPKA | 461
9606.ENSP00000260402 | PLCB2 | 1185
9606.ENSP00000260403 | TMEM62 | 643
9606.ENSP00000260408 | ADAM10 | 748
9606.ENSP00000260443 | RSL24D1 | 163
9606.ENSP00000260447 | GCHFR | 84
9606.ENSP00000260453 | MNS1 | 495
9606.ENSP00000260502 | BCAR3 | 825
9606.ENSP00000260505 | TTLL7 | 887
9606.ENSP00000260508 | KYAT3 | 454
9606.ENSP00000260526 | ARHGAP29 | 1261
9606.ENSP00000260563 | RTCA | 379
9606.ENSP00000260570 | IFT172 | 1749
9606.ENSP00000260599 | KHK | 298
9606.ENSP00000260643 | PREB | 417
9606.ENSP00000260649 | SLC3A1 | 685
9606.ENSP00000260653 | SIX3 | 332
9606.ENSP00000260665 | LRPPRC | 1394
9606.ENSP00000260682 | CYP2C9 | 490
9606.ENSP00000260702 | LOXL4 | 756
9606.ENSP00000260723 | BTBD16 | 506
9606.ENSP00000260731 | KIF11 | 1056
9606.ENSP00000260743 | CALHM2 | 323
9606.ENSP00000260746 | ARL3 | 182
9606.ENSP00000260762 | EXOC6 | 804
9606.ENSP00000260803 | DBR1 | 544
9606.ENSP00000260810 | TOPBP1 | 1522
9606.ENSP00000260818 | DNAJC13 | 2243
9606.ENSP00000260843 | GPR87 | 358
9606.ENSP00000260947 | BARD1 | 777
9606.ENSP00000260950 | MSTN | 375
9606.ENSP00000260952 | ASNSD1 | 643
9606.ENSP00000260953 | METTL5 | 209
9606.ENSP00000260970 | PPIG | 754
9606.ENSP00000260983 | HECW2 | 1572
9606.ENSP00000260988 | CRYGB | 175
9606.ENSP00000261007 | CHRNA1 | 482
9606.ENSP00000261015 | WDR12 | 423
9606.ENSP00000261023 | ITGAV | 1048
9606.ENSP00000261024 | SLC40A1 | 571
9606.ENSP00000261037 | COL8A1 | 744
9606.ENSP00000261038 | SLC49A4 | 478
9606.ENSP00000261047 | GUCA1C | 209
9606.ENSP00000261058 | CCDC54 | 328
9606.ENSP00000261070 | COX17 | 63
9606.ENSP00000261167 | WBP11 | 641
9606.ENSP00000261170 | GUCY2C | 1073
9606.ENSP00000261172 | EPYC | 322
9606.ENSP00000261177 | TSPAN11 | 253
9606.ENSP00000261180 | TRHDE | 1024
9606.ENSP00000261183 | OSBPL8 | 889
9606.ENSP00000261191 | INTS13 | 706
9606.ENSP00000261195 | GYS2 | 703
9606.ENSP00000261196 | SLCO1B3 | 702
9606.ENSP00000261200 | ABCC9 | 1549
9606.ENSP00000261205 | SYT1 | 422
9606.ENSP00000261208 | HAL | 657
9606.ENSP00000261211 | CDK17 | 523
9606.ENSP00000261226 | TMCC3 | 477
9606.ENSP00000261233 | IRAK3 | 596
9606.ENSP00000261234 | RXYLT1 | 443
9606.ENSP00000261245 | MNAT1 | 309
9606.ENSP00000261249 | TRMT5 | 509
9606.ENSP00000261250 | C12orf4 | 552
9606.ENSP00000261254 | CCND2 | 289
9606.ENSP00000261263 | RAB21 | 225
9606.ENSP00000261267 | LYZ | 148
9606.ENSP00000261275 | FAM189A1 | 539
9606.ENSP00000261292 | LIPG | 500
9606.ENSP00000261296 | TGDS | 350
9606.ENSP00000261303 | PSMC1 | 440
9606.ENSP00000261304 | GALC | 685
9606.ENSP00000261308 | PPWD1 | 646
9606.ENSP00000261313 | PEBP1 | 187
9606.ENSP00000261318 | C12orf49 | 205
9606.ENSP00000261326 | MOCOS | 888
9606.ENSP00000261336 | PZP | 1482
9606.ENSP00000261340 | CLEC2D | 194
9606.ENSP00000261349 | LRP6 | 1613
9606.ENSP00000261366 | LMNB1 | 586
9606.ENSP00000261367 | SNCAIP | 1016
9606.ENSP00000261369 | SNX24 | 169
9606.ENSP00000261374 | HS3ST2 | 367
9606.ENSP00000261377 | REXO5 | 774
9606.ENSP00000261381 | XYLT1 | 959
9606.ENSP00000261383 | DNAH3 | 4116
9606.ENSP00000261386 | GDE1 | 331
9606.ENSP00000261396 | NUP133 | 1156
9606.ENSP00000261402 | NUAK1 | 661
9606.ENSP00000261405 | VWF | 2813
9606.ENSP00000261407 | LPCAT3 | 487
9606.ENSP00000261416 | HEXB | 556
9606.ENSP00000261427 | UBE2K | 200
9606.ENSP00000261435 | N4BP2 | 1770
9606.ENSP00000261438 | KLF3 | 345
9606.ENSP00000261439 | TBC1D1 | 1168
9606.ENSP00000261441 | RSBN1 | 802
9606.ENSP00000261448 | CASQ2 | 399
9606.ENSP00000261461 | PPP2R5A | 486
9606.ENSP00000261464 | TRAF5 | 557
9606.ENSP00000261475 | PPP2R3C | 453
9606.ENSP00000261479 | PSMA6 | 246
9606.ENSP00000261483 | MAN2A1 | 1144
9606.ENSP00000261488 | ENOX1 | 643
9606.ENSP00000261497 | USP22 | 525
9606.ENSP00000261499 | B9D1 | 204
9606.ENSP00000261503 | SPECC1 | 1068
9606.ENSP00000261507 | MSMO1 | 293
9606.ENSP00000261514 | CLCN3 | 866
9606.ENSP00000261520 | ICE2 | 982
9606.ENSP00000261523 | RORA | 556
9606.ENSP00000261530 | GPATCH2L | 482
9606.ENSP00000261534 | POMT2 | 750
9606.ENSP00000261537 | MIB1 | 1006
9606.ENSP00000261556 | TMEM260 | 707
9606.ENSP00000261558 | AP5M1 | 490
9606.ENSP00000261560 | ZNF430 | 570
9606.ENSP00000261574 | IPO5 | 1115
9606.ENSP00000261584 | PALB2 | 1186
9606.ENSP00000261588 | KIAA0556 | 1618
9606.ENSP00000261590 | DSG2 | 1118
9606.ENSP00000261592 | NOL4 | 638
9606.ENSP00000261593 | RNF138 | 245
9606.ENSP00000261596 | LPIN2 | 896
9606.ENSP00000261597 | NDC80 | 642
9606.ENSP00000261600 | THOC1 | 657
9606.ENSP00000261601 | USP14 | 494
9606.ENSP00000261609 | HERC2 | 4834
9606.ENSP00000261622 | SLC7A5 | 507
9606.ENSP00000261623 | CYBA | 195
9606.ENSP00000261636 | ARL1 | 181
9606.ENSP00000261637 | UTP20 | 2785
9606.ENSP00000261643 | COX10 | 443
9606.ENSP00000261647 | TTC19 | 380
9606.ENSP00000261652 | TNFRSF13B | 293
9606.ENSP00000261655 | RIMBP2 | 1052
9606.ENSP00000261658 | BFAR | 450
9606.ENSP00000261667 | KPNA3 | 521
9606.ENSP00000261681 | MPP5 | 675
9606.ENSP00000261692 | CDK2AP1 | 115
9606.ENSP00000261693 | SCARB1 | 509
9606.ENSP00000261700 | RTRAF | 244
9606.ENSP00000261707 | SLC6A4 | 630
9606.ENSP00000261708 | UTP6 | 597
9606.ENSP00000261712 | PSMD11 | 422
9606.ENSP00000261714 | BLMH | 455
9606.ENSP00000261716 | TAOK1 | 1001
9606.ENSP00000261721 | BTBD1 | 482
9606.ENSP00000261726 | CUX2 | 1486
9606.ENSP00000261731 | LHX5 | 402
9606.ENSP00000261733 | ALDH2 | 517
9606.ENSP00000261735 | ERP29 | 261
9606.ENSP00000261739 | ANKRD13A | 590
9606.ENSP00000261745 | NAA25 | 972
9606.ENSP00000261751 | CHRNB4 | 498
9606.ENSP00000261758 | MESD | 234
9606.ENSP00000261769 | CDH1 | 882
9606.ENSP00000261772 | AARS1 | 968
9606.ENSP00000261776 | VAC14 | 782
9606.ENSP00000261778 | TANGO6 | 1094
9606.ENSP00000261783 | ARG2 | 354
9606.ENSP00000261789 | TM9SF1 | 606
9606.ENSP00000261796 | IL17B | 180
9606.ENSP00000261797 | NDST1 | 882
9606.ENSP00000261798 | CSNK1A1 | 365
9606.ENSP00000261799 | PDGFRB | 1106
9606.ENSP00000261800 | FAT2 | 4349
9606.ENSP00000261811 | CYSTM1 | 97
9606.ENSP00000261813 | PFDN1 | 122
9606.ENSP00000261819 | ANAPC5 | 755
9606.ENSP00000261835 | CYP46A1 | 500
9606.ENSP00000261837 | GNB5 | 395
9606.ENSP00000261839 | MYO5C | 1742
9606.ENSP00000261842 | AP4E1 | 1137
9606.ENSP00000261845 | MAPK6 | 721
9606.ENSP00000261854 | SPPL2A | 520
9606.ENSP00000261858 | GLCE | 617
9606.ENSP00000261861 | CORO2B | 480
9606.ENSP00000261866 | SPG11 | 2443
9606.ENSP00000261867 | SLC30A4 | 429
9606.ENSP00000261868 | EIF3J | 258
9606.ENSP00000261875 | HACD3 | 362
9606.ENSP00000261879 | APH1B | 257
9606.ENSP00000261880 | AAGAB | 315
9606.ENSP00000261881 | TIPIN | 301
9606.ENSP00000261883 | CILP | 1184
9606.ENSP00000261884 | TRIP4 | 581
9606.ENSP00000261888 | PARP16 | 323
9606.ENSP00000261889 | SNX1 | 557
9606.ENSP00000261890 | RAB11A | 216
9606.ENSP00000261892 | SLC24A1 | 1099
9606.ENSP00000261893 | LACTB | 547
9606.ENSP00000261900 | CCNT1 | 726
9606.ENSP00000261917 | HCN4 | 1203
9606.ENSP00000261918 | SEMA7A | 666
9606.ENSP00000261921 | LOXL1 | 574
9606.ENSP00000261937 | FLT4 | 1363
9606.ENSP00000261942 | FAF2 | 445
9606.ENSP00000261965 | TUBGCP3 | 907
9606.ENSP00000261973 | RBM25 | 843
9606.ENSP00000261978 | LTBP2 | 1821
9606.ENSP00000261980 | VSX2 | 361
9606.ENSP00000261994 | SERPINA10 | 444
9606.ENSP00000262013 | SPAG9 | 1321
9606.ENSP00000262018 | SGCA | 387
9606.ENSP00000262027 | MARS1 | 900
9606.ENSP00000262030 | ATP5F1B | 529
9606.ENSP00000262031 | RBMS2 | 407
9606.ENSP00000262039 | PIK3C3 | 887
9606.ENSP00000262041 | MEOX2 | 304
9606.ENSP00000262043 | PHF3 | 2039
9606.ENSP00000262053 | ATF1 | 271
9606.ENSP00000262065 | MMD | 238
9606.ENSP00000262067 | TSPAN13 | 204
9606.ENSP00000262094 | RAB27B | 218
9606.ENSP00000262096 | ZDHHC2 | 367
9606.ENSP00000262102 | MTUS1 | 1270
9606.ENSP00000262103 | EFCAB1 | 211
9606.ENSP00000262105 | MCM4 | 863
9606.ENSP00000262109 | ERICH1 | 443
9606.ENSP00000262113 | MYOM2 | 1465
9606.ENSP00000262120 | TWSG1 | 223
9606.ENSP00000262126 | ANKRD12 | 2062
9606.ENSP00000262127 | CEP76 | 659
9606.ENSP00000262133 | RBL2 | 1139
9606.ENSP00000262134 | LPCAT2 | 544
9606.ENSP00000262138 | CACNG4 | 327
9606.ENSP00000262139 | WIPI1 | 446
9606.ENSP00000262144 | WDR59 | 974
9606.ENSP00000262146 | MTFR1 | 333
9606.ENSP00000262150 | CDH19 | 772
9606.ENSP00000262158 | SMAD7 | 426
9606.ENSP00000262160 | SMAD2 | 467
9606.ENSP00000262177 | DNAJB6 | 326
9606.ENSP00000262178 | VIPR2 | 438
9606.ENSP00000262186 | KCNH2 | 1159
9606.ENSP00000262187 | RHEB | 184
9606.ENSP00000262188 | SMARCD3 | 483
9606.ENSP00000262189 | KMT2C | 4911
9606.ENSP00000262193 | PSMB1 | 241
9606.ENSP00000262198 | ADNP2 | 1131
9606.ENSP00000262207 | CRISPLD1 | 500
9606.ENSP00000262209 | TRPA1 | 1119
9606.ENSP00000262210 | CSPP1 | 1221
9606.ENSP00000262213 | TRAM1 | 374
9606.ENSP00000262215 | ARFGEF1 | 1849
9606.ENSP00000262219 | ANXA13 | 357
9606.ENSP00000262225 | TMED2 | 201
9606.ENSP00000262238 | YY1 | 414
9606.ENSP00000262241 | RCOR1 | 485
9606.ENSP00000262244 | MOB3B | 216
9606.ENSP00000262259 | ZNF175 | 711
9606.ENSP00000262262 | CD33 | 364
9606.ENSP00000262265 | PIH1D1 | 290
9606.ENSP00000262288 | SCPEP1 | 452
9606.ENSP00000262290 | LPO | 712
9606.ENSP00000262291 | VMP1 | 406
9606.ENSP00000262293 | PRR11 | 360
9606.ENSP00000262294 | TRIM37 | 964
9606.ENSP00000262300 | PKMYT1 | 499
9606.ENSP00000262301 | LMF1 | 567
9606.ENSP00000262302 | NUBP2 | 271
9606.ENSP00000262304 | PKD1 | 4303
9606.ENSP00000262305 | RAB11FIP3 | 756
9606.ENSP00000262306 | ELOB | 161
9606.ENSP00000262315 | CHTF18 | 975
9606.ENSP00000262316 | RHBDF1 | 855
9606.ENSP00000262319 | TELO2 | 837
9606.ENSP00000262320 | AXIN1 | 862
9606.ENSP00000262340 | RPE65 | 533
9606.ENSP00000262345 | IL12RB2 | 862
9606.ENSP00000262352 | SLC1A1 | 524
9606.ENSP00000262365 | FAM86B2 | 330
9606.ENSP00000262366 | GLIS2 | 524
9606.ENSP00000262367 | CREBBP | 2442
9606.ENSP00000262370 | MGRN1 | 576
9606.ENSP00000262374 | ALG1 | 464
9606.ENSP00000262375 | DNAJA3 | 480
9606.ENSP00000262376 | UBN1 | 1134
9606.ENSP00000262384 | N4BP1 | 896
9606.ENSP00000262394 | WSB1 | 421
9606.ENSP00000262395 | TRAF4 | 470
9606.ENSP00000262406 | RGS9 | 674
9606.ENSP00000262407 | ITGA2B | 1039
9606.ENSP00000262415 | DHX8 | 1220
9606.ENSP00000262418 | SLC4A1 | 911
9606.ENSP00000262424 | CRISPLD2 | 497
9606.ENSP00000262426 | FOXF1 | 379
9606.ENSP00000262428 | COTL1 | 142
9606.ENSP00000262430 | MLYCD | 493
9606.ENSP00000262432 | METTL2B | 378
9606.ENSP00000262435 | SMURF2 | 748
9606.ENSP00000262441 | GLP2R | 553
9606.ENSP00000262442 | DNAH9 | 4486
9606.ENSP00000262450 | CHD5 | 1954
9606.ENSP00000262455 | ERP44 | 406
9606.ENSP00000262457 | INVS | 1065
9606.ENSP00000262460 | GINS1 | 196
9606.ENSP00000262461 | SLC12A2 | 1212
9606.ENSP00000262462 | SLC27A6 | 619
9606.ENSP00000262482 | RNF167 | 350
9606.ENSP00000262483 | PITPNM3 | 974
9606.ENSP00000262487 | ISM1 | 464
9606.ENSP00000262494 | GNAO1 | 354
9606.ENSP00000262498 | CFAP20 | 193
9606.ENSP00000262506 | CSNK2A2 | 350
9606.ENSP00000262507 | COQ9 | 318
9606.ENSP00000262510 | NLRC5 | 1866
9606.ENSP00000262518 | SRCAP | 3230
9606.ENSP00000262519 | SETD1A | 1707
9606.ENSP00000262525 | ZNF629 | 869
9606.ENSP00000262545 | PCSK2 | 638
9606.ENSP00000262547 | DZANK1 | 752
9606.ENSP00000262554 | SPTLC1 | 473
9606.ENSP00000262577 | ZC3H3 | 948
9606.ENSP00000262584 | RPL8 | 257
9606.ENSP00000262593 | DOK5 | 306
9606.ENSP00000262613 | SLC9A3R1 | 358
9606.ENSP00000262622 | CHST8 | 424
9606.ENSP00000262623 | ATP4A | 1035
9606.ENSP00000262626 | HPN | 417
9606.ENSP00000262629 | TYROBP | 113
9606.ENSP00000262633 | RBM42 | 480
9606.ENSP00000262640 | VAMP7 | 260
9606.ENSP00000262643 | CCNE1 | 410
9606.ENSP00000262644 | IMPAD1 | 359
9606.ENSP00000262646 | RAB2A | 212
9606.ENSP00000262648 | ANOS1 | 680
9606.ENSP00000262653 | CBFA2T2 | 604
9606.ENSP00000262659 | CCM2L | 433
9606.ENSP00000262662 | CDKN2C | 168
9606.ENSP00000262710 | ACIN1 | 1341
9606.ENSP00000262713 | AJUBA | 538
9606.ENSP00000262715 | TEP1 | 2627
9606.ENSP00000262717 | CDH20 | 801
9606.ENSP00000262719 | PHLPP1 | 1717
9606.ENSP00000262726 | EFCAB6 | 1501
9606.ENSP00000262738 | CELSR1 | 3014
9606.ENSP00000262741 | PIK3R3 | 461
9606.ENSP00000262746 | PRDX1 | 199
9606.ENSP00000262752 | RPS6KA6 | 745
9606.ENSP00000262764 | PGS1 | 556
9606.ENSP00000262765 | QRICH2 | 1663
9606.ENSP00000262768 | TIMP2 | 220
9606.ENSP00000262776 | LGALS3BP | 585
9606.ENSP00000262794 | MOV10L1 | 1211
9606.ENSP00000262809 | ELL | 621
9606.ENSP00000262811 | MAST3 | 1309
9606.ENSP00000262815 | MAU2 | 613
9606.ENSP00000262839 | TRPC5 | 973
9606.ENSP00000262843 | MID2 | 735
9606.ENSP00000262844 | AMMECR1 | 333
9606.ENSP00000262848 | PRKX | 358
9606.ENSP00000262850 | RRAGB | 374
9606.ENSP00000262865 | BPI | 487
9606.ENSP00000262866 | SLA2 | 261
9606.ENSP00000262879 | RALGAPB | 1494
9606.ENSP00000262887 | XRCC1 | 633
9606.ENSP00000262891 | MARK4 | 752
9606.ENSP00000262894 | ZNF225 | 706
9606.ENSP00000262903 | HACE1 | 909
9606.ENSP00000262904 | E2F3 | 465
9606.ENSP00000262916 | KCNQ4 | 695
9606.ENSP00000262919 | ATRN | 1429
9606.ENSP00000262932 | CNPY4 | 248
9606.ENSP00000262940 | RASA4 | 803
9606.ENSP00000262942 | ARPC1A | 370
9606.ENSP00000262947 | MYDGF | 173
9606.ENSP00000262948 | MAP2K2 | 400
9606.ENSP00000262958 | GNA15 | 374
9606.ENSP00000262960 | DPP9 | 892
9606.ENSP00000262961 | ZFR2 | 939
9606.ENSP00000262962 | YJU2 | 323
9606.ENSP00000262965 | TCF3 | 654
9606.ENSP00000262971 | PIAS4 | 510
9606.ENSP00000262982 | CSE1L | 971
9606.ENSP00000262990 | ZNF330 | 320
9606.ENSP00000262995 | GAB1 | 724
9606.ENSP00000262999 | UCP1 | 307
9606.ENSP00000263025 | MAPK3 | 379
9606.ENSP00000263026 | EEF2K | 725
9606.ENSP00000263035 | DHTKD1 | 919
9606.ENSP00000263038 | PHYH | 338
9606.ENSP00000263054 | SORCS1 | 1168
9606.ENSP00000263056 | MAP3K8 | 467
9606.ENSP00000263062 | EPC1 | 836
9606.ENSP00000263063 | MTPAP | 582
9606.ENSP00000263071 | SCARF1 | 830
9606.ENSP00000263073 | SMG6 | 1419
9606.ENSP00000263080 | ASPA | 313
9606.ENSP00000263083 | DPH1 | 443
9606.ENSP00000263087 | ITGAE | 1179
9606.ENSP00000263088 | PLD2 | 933
9606.ENSP00000263092 | METTL16 | 562
9606.ENSP00000263093 | SLC27A5 | 690
9606.ENSP00000263094 | ABCA7 | 2146
9606.ENSP00000263095 | ZNF264 | 627
9606.ENSP00000263100 | A1BG | 495
9606.ENSP00000263102 | CCDC6 | 474
9606.ENSP00000263116 | RAB36 | 333
9606.ENSP00000263125 | PRKCQ | 706
9606.ENSP00000263150 | WDR37 | 494
9606.ENSP00000263160 | SLC17A6 | 582
9606.ENSP00000263168 | CAPZA1 | 286
9606.ENSP00000263174 | PALMD | 551
9606.ENSP00000263177 | PLPPR5 | 321
9606.ENSP00000263181 | KIF18A | 898
9606.ENSP00000263182 | BBOX1 | 387
9606.ENSP00000263187 | MSH4 | 936
9606.ENSP00000263196 | DGCR2 | 550
9606.ENSP00000263202 | UFD1 | 307
9606.ENSP00000263205 | MED15 | 788
9606.ENSP00000263207 | ARVCF | 962
9606.ENSP00000263208 | HIRA | 1017
9606.ENSP00000263209 | DGCR8 | 773
9606.ENSP00000263212 | PPM1F | 454
9606.ENSP00000263228 | UBE2R2 | 238
9606.ENSP00000263233 | SYP | 313
9606.ENSP00000263238 | ACTR3 | 418
9606.ENSP00000263239 | DDX18 | 670
9606.ENSP00000263245 | ARFGAP3 | 516
9606.ENSP00000263246 | PACSIN2 | 486
9606.ENSP00000263253 | EP300 | 2414
9606.ENSP00000263256 | DESI1 | 168
9606.ENSP00000263257 | NOVA2 | 492
9606.ENSP00000263265 | PLEKHA4 | 779
9606.ENSP00000263266 | FAM83E | 478
9606.ENSP00000263268 | MREG | 214
9606.ENSP00000263269 | GRIN2D | 1336
9606.ENSP00000263274 | LIG1 | 919
9606.ENSP00000263277 | EHD2 | 543
9606.ENSP00000263278 | HSD17B14 | 270
9606.ENSP00000263285 | LY9 | 655
9606.ENSP00000263314 | P2RX3 | 397
9606.ENSP00000263317 | NOX4 | 578
9606.ENSP00000263321 | TYR | 529
9606.ENSP00000263326 | IL37 | 218
9606.ENSP00000263334 | PAX8 | 450
9606.ENSP00000263339 | IL1A | 271
9606.ENSP00000263341 | IL1B | 269
9606.ENSP00000263346 | TCF25 | 676
9606.ENSP00000263354 | NAPA | 295
9606.ENSP00000263368 | BLVRB | 206
9606.ENSP00000263370 | ITPKC | 683
9606.ENSP00000263372 | KCNK6 | 313
9606.ENSP00000263377 | BRD4 | 1362
9606.ENSP00000263379 | IL27RA | 636
9606.ENSP00000263382 | ASF1B | 202
9606.ENSP00000263383 | ILVBL | 632
9606.ENSP00000263384 | FAM32A | 112
9606.ENSP00000263388 | NOTCH3 | 2321
9606.ENSP00000263390 | MED26 | 600
9606.ENSP00000263401 | COMMD9 | 198
9606.ENSP00000263408 | C9 | 559
9606.ENSP00000263413 | C6 | 934
9606.ENSP00000263431 | PRKCG | 697
9606.ENSP00000263433 | PPP1R12C | 782
9606.ENSP00000263440 | ALG6 | 507
9606.ENSP00000263461 | WDR11 | 1224
9606.ENSP00000263464 | BIRC3 | 604
9606.ENSP00000263468 | CEP126 | 1117
9606.ENSP00000263512 | SLC10A3 | 477
9606.ENSP00000263519 | ATP2B3 | 1220
9606.ENSP00000263549 | PARP12 | 701
9606.ENSP00000263556 | P4HA1 | 534
9606.ENSP00000263559 | VPS26A | 327
9606.ENSP00000263563 | PALD1 | 856
9606.ENSP00000263576 | DDX25 | 483
9606.ENSP00000263578 | FOXRED1 | 486
9606.ENSP00000263579 | DCPS | 337
9606.ENSP00000263593 | SIAE | 523
9606.ENSP00000263598 | LCN1 | 176
9606.ENSP00000263610 | BARHL1 | 327
9606.ENSP00000263620 | ARID3A | 593
9606.ENSP00000263629 | MTIF2 | 727
9606.ENSP00000263635 | TANC1 | 1861
9606.ENSP00000263636 | LY75 | 1722
9606.ENSP00000263645 | CD81 | 236
9606.ENSP00000263650 | OSBPL5 | 879
9606.ENSP00000263655 | CNRIP1 | 164
9606.ENSP00000263657 | PNO1 | 252
9606.ENSP00000263663 | TAF1B | 588
9606.ENSP00000263665 | CNTN3 | 1028
9606.ENSP00000263666 | PDZRN3 | 1066
9606.ENSP00000263671 | CHRDL2 | 451
9606.ENSP00000263672 | SPCS2 | 226
9606.ENSP00000263674 | ARHGEF17 | 2063
9606.ENSP00000263681 | POLD3 | 466
9606.ENSP00000263686 | SELP | 830
9606.ENSP00000263694 | SNRNP40 | 357
9606.ENSP00000263697 | DNAJC8 | 253
9606.ENSP00000263702 | MECR | 373
9606.ENSP00000263707 | TFCP2L1 | 479
9606.ENSP00000263708 | PTPN4 | 926
9606.ENSP00000263710 | CLASP1 | 1538
9606.ENSP00000263713 | EPB41L5 | 733
9606.ENSP00000263726 | LHX4 | 390
9606.ENSP00000263733 | FAM20B | 409
9606.ENSP00000263734 | EPAS1 | 870
9606.ENSP00000263735 | EPCAM | 314
9606.ENSP00000263736 | SRBD1 | 995
9606.ENSP00000263753 | SGO1 | 561
9606.ENSP00000263754 | KAT2B | 832
9606.ENSP00000263773 | FNBP4 | 1017
9606.ENSP00000263774 | NDUFS3 | 264
9606.ENSP00000263776 | ACCS | 501
9606.ENSP00000263780 | CHMP2B | 213
9606.ENSP00000263791 | EIF2AK4 | 1649
9606.ENSP00000263795 | WDR76 | 626
9606.ENSP00000263798 | TYRO3 | 890
9606.ENSP00000263800 | LTK | 864
9606.ENSP00000263805 | ZNF106 | 1883
9606.ENSP00000263847 | OSBP | 807
9606.ENSP00000263849 | ZC2HC1A | 325
9606.ENSP00000263851 | IL7 | 177
9606.ENSP00000263856 | CHMP3 | 222
9606.ENSP00000263857 | POLR1A | 1720
9606.ENSP00000263864 | VAMP8 | 100
9606.ENSP00000263867 | CAPG | 348
9606.ENSP00000263881 | MAP4K3 | 894
9606.ENSP00000263897 | USE1 | 259
9606.ENSP00000263904 | STAM2 | 525
9606.ENSP00000263915 | GRB14 | 540
9606.ENSP00000263918 | STRN | 780
9606.ENSP00000263921 | CHIC2 | 165
9606.ENSP00000263923 | KDR | 1356
9606.ENSP00000263925 | LNX1 | 728
9606.ENSP00000263932 | TNFRSF8 | 595
