StringDB_Gene_Name	AlphaFold_Uniprot_Id	Uniprot_Protein_Length
UBFD1	O14562	309
UBE4B	O95155	1302
UBE4A	Q14139	1066
UBE3D	Q7Z6J8	389
UBE3C	Q15386	1083
UBE3B	Q7Z3V4	1068
UBE3A	Q05086	875
UBE2Z	Q9H832	354
UBE2W	Q96B02	151
UBE2V2	Q15819	145
UBE2V1	Q13404	147
UBE2U	Q5VVX9	321
UBE2T	Q9NPD8	197
UBE2S	Q16763	222
UBE2R2	Q712K3	238
UBE2QL1	A1L167	161
UBE2Q2	Q8WVN8	375
UBE2Q1	Q7Z7E8	422
UBE2O	Q9C0C9	1292
UBE2N	Q5JXB2	153
UBE2N	P61088	152
UBE2M	P61081	183
UBE2L6	O14933	153
UBE2L5	A0A1B0GUS4	154
UBE2L3	P68036	154
UBE2K	P61086	200
UBE2J2	Q8N2K1	259
UBE2J1	Q9Y385	318
UBE2I	P63279	158
UBE2H	P62256	183
UBE2G2	P60604	165
UBE2G1	P62253	170
UBE2F	Q969M7	185
UBE2E3	Q969T4	207
UBE2E2	Q96LR5	201
UBE2E1	P51965	193
UBE2D4	Q9Y2X8	147
UBE2D3	P61077	147
UBE2D2	P62837	147
UBE2D2	Q8IWF7	75
UBE2D1	P51668	147
UBE2C	Q7Z6J8	389
UBE2C	O00762	179
UBE2B	P63146	152
UBE2A	P49459	152
UBD	Q9UJT1	453
UBD	O15205	165
UBC	Q92622	972
UBC	Q9NWF9	866
UBC	P0CG48	685
UBC	Q9H714	662
UBC	Q9Y4X5	557
UBC	O94941	541
UBC	Q9BYM8	510
UBC	P50876	292
UBC	Q712K3	238
UBC	P49427	236
UBC	Q969T4	207
UBC	Q96LR5	201
UBC	P51965	193
UBC	P61081	183
UBC	O00762	179
UBC	P60604	165
UBC	P63279	158
UBC	P62979	156
UBC	P68036	154
UBC	O14933	153
UBC	P63146	152
UBC	Q96B02	151
UBC	P62837	147
UBC	Q9Y2X8	147
UBC	P51668	147
UBC	P61077	147
UBC	P62987	128
UBB	Q9H4B7	451
UBB	Q13509	450
UBB	Q9BUF5	446
UBB	Q13885	445
UBB	Q9BVA1	445
UBB	P68371	445
UBB	Q3ZCM7	444
UBB	A6NNZ2	444
UBB	P07437	444
UBB	P04350	444
UBB	P0CG47	229
UBASH3B	Q8TF42	649
UBASH3A	P57075	661
UBAP2L	Q14157	1087
UBAP2	Q5T6F2	1119
UBAP2	Q14157	1087
UBAP1L	F5GYI3	381
UBAP1	Q9NZ09	502
UBAP1	F5GYI3	381
UBALD2	Q8IYN6	164
UBALD1	Q8TB05	177
UBAC2	Q8NBM4	344
UBAC1	Q9BSL1	405
UBA7	P41226	1012
UBA7	Q5VV17	481
UBA6	A0AVT1	1052
UBA6	Q9BQE3	449
UBA52	P62987	128
UBA5	Q9GZZ9	404
UBA5	Q8N6M0	293
UBA5	P62987	128
UBA3	Q8TBC4	463
UBA3	Q71U36	451
UBA3	Q6PEY2	450
UBA3	P0DPH8	450
UBA3	P0DPH7	450
UBA2	Q9UBT2	640
UBA2	P0DPH7	450
UBA2	Q7L8S5	288
UBA1	P22314	1058
UBA1	P68363	451
UBA1	Q71U36	451
UBA1	Q9BQE3	449
UBA1	P68366	448
UAP1L1	Q3KQV9	507
UAP1	Q16222	522
UAP1	Q3KQV9	507
UAP1	Q96AJ1	413
UACA	Q9BZF9	1416
U2SURP	O15042	1029
U2AF2	P26368	475
U2AF2	Q8IXP5	288
U2AF1L4	Q9H665	355
U2AF1L4	Q8WU68	220
U2AF1	Q15696	482
U2AF1	Q15695	479
U2AF1	Q9H665	355
U2AF1	Q16633	256
U2AF1	Q01081	240
U2AF1	Q8WU68	220
TYW5	A2RUC4	315
TYW3	Q6IPR3	259
TYW1B	Q6NUM6	668
TYW1	Q9NV66	732
TYW1	Q6NUM6	668
TYSND1	Q2T9J0	566
TYRP1	P17643	537
TYROBP	O43914	113
TYRO3	Q06418	890
TYR	P29323	1055
TYR	P54756	1037
TYR	P54753	998
TYR	P54760	987
TYR	P54764	986
TYR	P29320	983
TYR	Q06418	890
TYR	Q16832	855
TYR	P17643	537
TYR	P14679	529
TYR	P40126	519
TYR	O43914	113
TYMS	Q7L5Y1	443
TYMS	O00574	342
TYMS	P04818	313
TYMS	Q8TAI1	123
TYMP	P19971	482
TYK2	Q8IWU2	1503
TYK2	P29597	1187
TXNRD3NB	Q6F5E7	133
TXNRD3	Q6F5E7	133
TXNL4B	Q9NX01	149
TXNL4A	P83876	142
TXNL1	O43396	289
TXNIP	Q9H3M7	391
TXNDC9	O14530	226
TXNDC8	Q6A555	127
TXNDC5	Q8NBS9	432
TXNDC2	Q86VQ3	553
TXNDC17	Q9BRA2	123
TXNDC16	Q9P2K2	825
TXNDC15	Q96J42	360
TXNDC12	O95881	172
TXNDC11	Q6PKC3	985
TXN2	Q99700	1313
TXN2	Q8WWM7	1075
TXN2	Q99757	166
TXN2	P0C2S0	81
TXN	Q99700	1313
TXN	Q8WWM7	1075
TXN	Q6PKC3	985
TXN	O15265	892
TXN	Q9ULK2	861
TXN	Q9P2K2	825
TXN	P54253	815
TXN	Q5T6C5	722
TXN	P0C7T5	689
TXN	Q8N427	588
TXN	Q86VQ3	553
TXN	Q9UBB4	475
TXN	Q13505	466
TXN	Q96JJ7	454
TXN	Q15084	440
TXN	Q8NBS9	432
TXN	Q9BS26	406
TXN	Q9H3M7	391
TXN	P54252	361
TXN	Q96J42	360
TXN	Q9H3M9	355
TXN	Q9H1E5	349
TXN	Q14CW9	347
TXN	O76003	335
TXN	Q86XW9	330
TXN	Q9Y320	296
TXN	O43396	289
TXN	Q9H3N1	280
TXN	O14530	226
TXN	Q96CM4	212
TXN	P0DMR3	200
TXN	O95881	172
TXN	Q99757	166
TXN	Q9NX01	149
TXN	P83876	142
TXN	Q6F5E7	133
TXN	Q6A555	127
TXN	Q9BRA2	123
TXN	P10599	105
TXN	Q96GX2	97
TXN	P60606	82
TXN	P0C2S0	81
TXN	Q4LDR2	81
TXN	Q156A1	80
TXN	A0A1B0GTU2	59
TXN	A0A1B0GV90	55
TXLNG	Q9NUQ3	528
TXLNG	Q9BZA5	131
TXLNB	Q8N3L3	684
TXLNA	P40222	546
TXK	P42681	527
TWSG1	Q9GZX9	223
TWNK	Q96RR1	684
TWISTNB	Q3B726	338
TWIST2	Q8WVJ9	160
TWIST1	Q15672	202
TWF2	Q6IBS0	349
TWF1	Q12792	350
TVP23C	Q96ET8	276
TVP23B	Q9NYZ1	205
TVP23A	A6NH52	213
TUT7	Q5VYS8	1495
TUT4	Q5TAX3	1644
TUT1	Q9H6E5	874
TUSC3	Q13454	348
TUSC2	O75896	110
TUSC1	Q2TAM9	209
TUNAR	A0A7I2V4K3	65
TULP4	Q9NRJ4	1543
TULP3	O75386	442
TULP2	O00295	520
TULP1	O00294	542
TUFT1	Q9NNX1	390
TUFM	P49411	455
TUBGCP6	Q96RT7	1819
TUBGCP5	Q96RT8	1024
TUBGCP4	Q9UGJ1	667
TUBGCP3	Q96CW5	907
TUBGCP2	Q9BSJ2	902
TUBG2	Q9NRH3	451
TUBG1	P23258	451
TUBE1	Q9UJT0	475
TUBD1	Q9UJT1	453
TUBB8B	A6NNZ2	444
TUBB8	Q3ZCM7	444
TUBB8	A6NNZ2	444
TUBB6	Q9BUF5	446
TUBB4B	P68371	445
TUBB4A	P04350	444
TUBB3	Q13509	450
TUBB2B	Q9BVA1	445
TUBB2A	Q13885	445
TUBB1	Q9H4B7	451
TUBB	Q9H4B7	451
TUBB	Q13509	450
TUBB	Q9BUF5	446
TUBB	Q13885	445
TUBB	Q9BVA1	445
TUBB	P68371	445
TUBB	Q3ZCM7	444
TUBB	A6NNZ2	444
TUBB	P07437	444
TUBB	P04350	444
TUBAL3	A6NHL2	446
TUBA8	Q9NY65	449
TUBA4B	Q9H853	241
TUBA4A	P68366	448
TUBA3E	Q6PEY2	450
TUBA3D	P0DPH8	450
TUBA3C	P0DPH7	450
TUBA1C	Q9BQE3	449
TUBA1B	P68363	451
TUBA1A	Q71U36	451
TUB	Q96RT7	1819
TUB	Q6XZF7	1577
TUB	Q9NRJ4	1543
TUB	Q96RT8	1024
TUB	Q96CW5	907
TUB	Q9BSJ2	902
TUB	Q9UGJ1	667
TUB	O00294	542
TUB	O00295	520
TUB	P50607	506
TUB	Q9UJT0	475
TUB	Q9UJT1	453
TUB	Q9H4B7	451
TUB	Q9NRH3	451
TUB	P68363	451
TUB	P23258	451
TUB	Q71U36	451
TUB	Q13509	450
TUB	Q6PEY2	450
TUB	P0DPH8	450
TUB	P0DPH7	450
TUB	Q9BQE3	449
TUB	Q9NY65	449
TUB	P68366	448
TUB	A6NHL2	446
TUB	Q9BUF5	446
TUB	Q13885	445
TUB	Q9BVA1	445
TUB	P68371	445
TUB	Q3ZCM7	444
TUB	A6NNZ2	444
TUB	P07437	444
TUB	P04350	444
TUB	O75386	442
TUB	Q9UGM5	382
TUB	Q9UNE7	303
TUB	Q96FW1	271
TUB	Q9H853	241
TUB	Q96DC9	234
TUB	A0A183	80
TTYH3	Q9C0H2	523
TTYH2	Q9BSA4	534
TTYH1	Q9H313	450
TTR	O95551	362
TTR	P02766	147
TTPAL	Q9BTX7	342
TTPA	Q9BTX7	342
TTPA	P49638	278
TTN	Q8WZ42	34350
TTN	Q86VV8	2226
TTN	Q8WZ74	1663
TTN	Q9P2B4	639
TTN	Q14247	550
TTLL9	Q3SXZ7	439
TTLL8	A6PVC2	850
TTLL7	Q6ZT98	887
TTLL6	Q8N841	891
TTLL5	Q6EMB2	1281
TTLL4	Q14679	1199
TTLL3	Q9Y4R7	772
TTLL2	Q9BWV7	592
TTLL13P	A6NNM8	815
TTLL12	Q14166	644
TTLL11	Q8NHH1	710
TTLL10	Q6ZVT0	673
TTLL1	A6NNM8	815
TTLL1	Q8NHH1	710
TTLL1	Q6ZVT0	673
TTLL1	Q14166	644
TTLL1	O95922	423
TTL	Q6EMB2	1281
TTL	Q14679	1199
TTL	Q8N841	891
TTL	Q6ZT98	887
TTL	A6PVC2	850
TTL	A6NNM8	815
TTL	Q9Y4R7	772
TTL	Q8IYL2	757
TTL	Q8NHH1	710
TTL	Q8N6R0	699
TTL	Q6ZVT0	673
TTL	Q14166	644
TTL	Q8N6Q8	603
TTL	Q9BWV7	592
TTL	Q86U44	580
TTL	Q86W50	562
TTL	Q96FB5	475
TTL	Q8N3J2	472
TTL	Q9HCE5	456
TTL	Q9H7H0	456
TTL	Q3SXZ7	439
TTL	O95922	423
TTL	A6NJ78	407
TTL	Q9BUU2	404
TTL	Q6P1Q9	378
TTL	Q96IZ6	378
TTL	Q8NG68	377
TTL	O95568	372
TTL	Q5JXM2	366
TTL	Q9H1A3	318
TTL	Q9H825	291
TTL	Q5JPI9	291
TTL	Q8TCB7	284
TTL	Q5VVY1	283
TTL	Q9UBP6	276
TTL	A6NDL7	271
TTL	Q5VZV1	264
TTL	Q8IXQ9	262
TTL	Q8N6F8	245
TTL	Q6UX53	244
TTL	Q9H8H3	244
TTL	P78417	241
TTL	A8MUP2	240
TTL	P0C7V9	234
TTL	Q9H867	229
TTL	Q96AZ1	226
TTL	Q9BV86	223
TTL	Q8WXB1	218
TTL	Q9NRN9	209
TTL	Q96S19	204
TTL	Q86XA0	190
TTK	P33981	857
TTI2	Q6NXR4	508
TTI1	O43156	1089
TTF2	Q9UNY4	1162
TTF2	O00358	373
TTF1	Q15361	905
TTF1	P43699	371
TTC9C	Q8N5M4	171
TTC9B	Q8N6N2	239
TTC9	Q8N6N2	239
TTC9	Q92623	222
TTC9	Q8N5M4	171
TTC8	Q8TAM2	541
TTC7B	Q86TV6	843
TTC7A	Q9ULT0	858
TTC5	Q8N0Z6	440
TTC4	Q8IYW2	2715
TTC4	Q6P2S7	1318
TTC4	O95801	387
TTC39C	Q8N584	583
TTC39B	Q5VTQ0	682
TTC39A	Q5SRH9	613
TTC38	Q5R3I4	469
TTC37	Q6PGP7	1564
TTC36	A6NLP5	189
TTC34	A8MYJ7	566
TTC33	Q6PID6	262
TTC32	Q5I0X7	151
TTC31	Q49AM3	519
TTC30B	Q8N4P2	665
TTC30A	Q86WT1	665
TTC3	P53804	2025
TTC3	Q6PGP7	1564
TTC3	Q5VTQ0	682
TTC3	Q8N4P2	665
TTC3	Q86WT1	665
TTC3	Q5SRH9	613
TTC3	Q8N584	583
TTC3	A8MYJ7	566
TTC3	Q49AM3	519
TTC3	Q5R3I4	469
TTC3	Q15006	297
TTC3	Q6PID6	262
TTC3	A6NLP5	189
TTC3	Q5I0X7	151
TTC29	Q8NA56	475
TTC28	Q96AY4	2481
TTC27	Q6P3X3	843
TTC26	A0AVF1	554
TTC25	Q96NG3	672
TTC24	A2A3L6	582
TTC23L	Q6PF05	361
TTC23	Q5W5X9	447
TTC23	Q6PF05	361
TTC22	Q5TAA0	569
TTC21B	Q7Z4L5	1316
TTC21A	Q8NDW8	1320
TTC19	Q6DKK2	380
TTC17	Q96AE7	1141
TTC16	Q8NEE8	873
TTC14	Q96N46	770
TTC13	Q8NBP0	860
TTC12	Q9H892	705
TTC1	Q96AE7	1141
TTC1	Q5T0N1	1121
TTC1	Q8NEE8	873
TTC1	Q8NBP0	860
TTC1	Q13099	824
TTC1	Q96N46	770
TTC1	Q8WVT3	735
TTC1	Q9H892	705
TTC1	Q6DKK2	380
TTC1	Q99614	292
TTC1	Q9Y3D6	152
TTBK2	Q6IQ55	1244
TTBK1	Q5TCY1	1321
TSTD3	H0UI37	97
TSTD2	Q5T7W7	516
TSTD1	Q8NFU3	115
TSTA3	Q13630	321
TST	Q5T7W7	516
TST	Q16204	474
TST	Q13630	321
TST	P25325	297
TST	Q16762	297
TST	Q8NFU3	115
TST	H0UI37	97
TSSK6	Q9BXA6	273
TSSK4	Q6SA08	328
TSSK3	Q96PN8	268
TSSK2	Q96PF2	358
TSSK1B	Q9BXA7	367
TSSC4	Q9Y5U2	329
TSR3	Q9UJK0	312
TSR2	O95665	410
TSR2	Q969E8	191
TSR1	Q8N6G6	1762
TSR1	Q2NL82	804
TSR1	P30989	418
TSPYL6	Q8N831	410
TSPYL5	Q86VY4	417
TSPYL4	Q9UJ04	414
TSPYL2	Q9H2G4	693
TSPYL1	Q9H0U9	437
TSPY9P	A0A494C1R9	314
TSPY8	P0CW00	308
TSPY4	P0CV99	314
TSPY3	P0CV98	308
TSPY2	Q9H489	355
TSPY2	A6NKD2	308
TSPY10	P0CW01	308
TSPY1	Q01534	308
TSPY1	P0CW01	308
TSPOAP1	O95153	1857
TSPO2	Q5TGU0	170
TSPO	O95153	1857
TSPO	Q5TGU0	170
TSPO	P30536	169
TSPEAR	Q8WU66	669
TSPEAR	P59090	65
TSPAN9	O75954	239
TSPAN8	P19075	237
TSPAN7	P41732	249
TSPAN6	O43657	245
TSPAN5	P62079	268
TSPAN4	O14817	238
TSPAN33	Q86UF1	283
TSPAN32	Q96QS1	320
TSPAN31	Q12999	210
TSPAN3	Q96QS1	320
TSPAN3	Q86UF1	283
TSPAN3	O60637	253
TSPAN3	P08962	238
TSPAN3	Q12999	210
TSPAN2	Q03395	351
TSPAN2	P23942	346
TSPAN2	P11049	281
TSPAN2	P27701	267
TSPAN2	O75841	260
TSPAN2	O00322	258
TSPAN2	P48509	253
TSPAN2	P60033	236
TSPAN2	P21926	228
TSPAN2	O60636	221
TSPAN2	P19397	219
TSPAN19	P0C672	248
TSPAN18	Q96SJ8	248
TSPAN17	Q96FV3	270
TSPAN16	Q9UKR8	245
TSPAN15	O95858	294
TSPAN14	Q8NG11	270
TSPAN13	O95857	204
TSPAN12	O95859	305
TSPAN11	A1L157	253
TSPAN10	Q9H1Z9	355
TSPAN1	Q9H1Z9	355
TSPAN1	O95859	305
TSPAN1	O95858	294
TSPAN1	Q8NG11	270
TSPAN1	Q96FV3	270
TSPAN1	A1L157	253
TSPAN1	Q96SJ8	248
TSPAN1	P0C672	248
TSPAN1	Q9UKR8	245
TSPAN1	O60635	241
TSPAN1	O95857	204
TSNAXIP1	Q2TAA8	658
TSNAX	Q2TAA8	658
TSNAX	Q99598	290
TSNARE1	Q96NA8	513
TSN	Q15811	1721
TSN	Q9NZM3	1697
TSN	Q2TAA8	658
TSN	Q96NA8	513
TSN	Q99598	290
TSN	Q15631	228
TSLP	Q9HC73	371
TSLP	Q969D9	159
TSKU	Q8WUA8	353
TSKS	Q9UJT2	592
TSHZ3	Q63HK5	1081
TSHZ2	Q9NRE2	1034
TSHZ1	Q6ZSZ6	1077
TSHR	P16473	764
TSHB	P01222	138
TSGA13	Q96PP4	275
TSGA10IP	Q3SY00	556
TSGA10	Q9BZW7	698
TSGA10	Q3SY00	556
TSG101	Q99816	390
TSFM	P43897	325
TSEN54	Q7Z6J9	526
TSEN34	Q9BSV6	310
TSEN2	Q8NCE0	465
TSEN15	Q8WW01	171
TSC22D4	Q9Y3Q8	395
TSC22D3	Q99576	134
TSC22D2	O75157	780
TSC22D1	Q15714	1073
TSC2	P49815	1807
TSC2	Q15714	1073
TSC2	O75157	780
TSC2	Q9Y3Q8	395
TSC2	Q96LM6	180
TSC2	Q99576	134
TSC1	Q92574	1164
TSBP1	Q5SRN2	563
TSACC	Q96A04	125
TRUB2	O95900	331
TRUB1	Q8WWH5	349
TRRAP	Q9Y4A5	3859
TRPV6	Q9H1D0	765
TRPV5	Q9NQA5	729
TRPV4	Q9HBA0	871
TRPV3	Q8NET8	790
TRPV2	Q9Y5S1	764
TRPV1	Q8NER1	839
TRPT1	Q86TN4	253
TRPS1	Q9UHF7	1281
TRPM8	Q7Z2W7	1104
TRPM7	Q96QT4	1865
TRPM6	Q9BX84	2022
TRPM5	Q9NZQ8	1165
TRPM4	Q8TD43	1214
TRPM3	Q9HCF6	1732
TRPM2	O94759	1503
TRPM1	Q7Z4N2	1603
TRPC7	Q96QT4	1865
TRPC7	O94759	1503
TRPC7	Q9HCX4	862
TRPC6	Q7Z2W7	1104
TRPC6	Q9Y210	931
TRPC5	Q9NZQ8	1165
TRPC5	Q9UL62	973
TRPC5	A6NMA1	111
TRPC4AP	Q8TEL6	797
TRPC4	Q8TD43	1214
TRPC4	Q9UBN4	977
TRPC4	Q8TEL6	797
TRPC3	Q9HCF6	1732
TRPC3	Q13507	921
TRPC1	Q7Z4N2	1603
TRPC1	P48995	793
TRPA1	O75762	1119
TROAP	Q12815	778
TRO	Q12816	1431
TRO	Q8N137	903
TRO	Q12815	778
TRO	P10155	538
TRO	Q9NS68	423
TRO	P50616	345
TRO	Q14106	344
TRO	P09758	323
TRO	P16422	314
TRNT1	Q96Q11	434
TRNP1	Q6NT89	227
TRNAU1AP	Q9NX07	287
TRMU	O75648	421
TRMT9B	Q9P272	454
TRMT61B	Q9BVS5	477
TRMT61A	Q96FX7	289
TRMT6	Q9UJA5	497
TRMT6	Q9BVS5	477
TRMT6	Q96FX7	289
TRMT5	Q32P41	509
TRMT44	Q8IYL2	757
TRMT2B	Q96GJ1	504
TRMT2A	Q8IZ69	625
TRMT1L	Q7Z2T5	733
TRMT13	Q9NUP7	481
TRMT12	Q53H54	448
TRMT112	Q9UI30	125
TRMT11	Q7Z4G4	463
TRMT11	Q9UI30	125
TRMT10C	Q7L0Y3	403
TRMT10B	Q6PF06	316
TRMT10A	Q8TBZ6	339
TRMT1	Q7Z2T5	733
TRMT1	Q9NXH9	659
TRMT1	Q9NUP7	481
TRMT1	Q7Z4G4	463
TRMT1	Q53H54	448
TRMT1	O75648	421
TRMT1	Q7L0Y3	403
TRMT1	Q8TBZ6	339
TRMT1	Q6PF06	316
TRMT1	Q9UI30	125
TRMO	Q9BU70	441
TRIT1	Q9H3H1	467
TRIT1	P0DN84	35
TRIR	Q9BQ61	176
TRIQK	Q629K1	86
TRIP6	Q15654	476
TRIP4	Q15650	581
TRIP13	Q15645	432
TRIP12	Q14669	1992
TRIP11	Q15643	1979
TRIP10	Q15642	601
TRIOBP	Q9H2D6	2365
TRIO	O75962	3097
TRIO	Q9H2D6	2365
TRIML2	Q8N7C3	437
TRIML1	Q8N9V2	468
TRIM9	Q9C026	710
TRIM8	Q9BZR9	551
TRIM77	I1YAP6	450
TRIM75P	A6NK02	468
TRIM74	Q86UV6	250
TRIM73	Q86UV7	250
TRIM72	Q6ZMU5	477
TRIM71	Q2Q1W2	868
TRIM7	Q8N3K9	4069
TRIM7	Q2Q1W2	868
TRIM7	Q9C029	511
TRIM7	Q6ZMU5	477
TRIM7	A6NK02	468
TRIM7	I1YAP6	450
TRIM7	Q309B1	348
TRIM7	Q86UV7	250
TRIM7	Q86UV6	250
TRIM69	Q86WT6	500
TRIM68	Q6AZZ1	485
TRIM67	Q6ZTA4	783
TRIM66	O15016	1351
TRIM65	Q6PJ69	517
TRIM64B	A6NI03	449
TRIM64	A6NLI5	450
TRIM64	A6NGJ6	449
TRIM64	A6NI03	449
TRIM63	Q969Q1	353
TRIM62	Q9BVG3	475
TRIM61	Q5EBN2	209
TRIM60	Q495X7	471
TRIM6	O15016	1351
TRIM6	Q6ZTA4	783
TRIM6	Q6PJ69	517
TRIM6	Q86WT6	500
TRIM6	Q9C030	488
TRIM6	Q6AZZ1	485
TRIM6	Q9BVG3	475
TRIM6	Q495X7	471
TRIM6	A6NLI5	450
TRIM6	A6NGJ6	449
TRIM6	A6NI03	449
TRIM6	Q969Q1	353
TRIM6	Q5EBN2	209
TRIM59	Q8IWR1	403
TRIM58	Q8NG06	486
TRIM56	Q9BRZ2	755
TRIM55	Q9BYV6	548
TRIM54	Q9BYV2	358
TRIM52	Q96A61	297
TRIM51GP	A0A3B3IT33	452
TRIM51	A0A3B3IT33	452
TRIM51	Q9BSJ1	452
TRIM50	Q86XT4	487
TRIM50	Q86UV7	250
TRIM50	Q86UV6	250
TRIM5	Q9BRZ2	755
TRIM5	Q9BYV6	548
TRIM5	Q9C035	493
TRIM5	Q86XT4	487
TRIM5	Q8NG06	486
TRIM5	A0A3B3IT33	452
TRIM5	Q9BSJ1	452
TRIM5	Q8IWR1	403
TRIM5	Q9BYV2	358
TRIM5	Q96A61	297
TRIM5	Q86UV7	250
TRIM5	Q86UV6	250
TRIM49D2	C9J1S8	452
TRIM49D1	C9J1S8	452
TRIM49C	P0CI26	452
TRIM49B	A6NDI0	452
TRIM49	C9J1S8	452
TRIM49	P0CI25	452
TRIM49	P0CI26	452
TRIM49	A6NDI0	452
TRIM48	Q8IWZ4	224
TRIM47	Q96LD4	638
TRIM46	Q7Z4K8	759
TRIM45	Q9H8W5	580
TRIM44	Q96DX7	344
TRIM43B	A6NCK2	446
TRIM43	A6NCK2	446
TRIM43	Q96BQ3	446
TRIM42	Q8IWZ5	723
TRIM41	Q8WV44	630
TRIM40	Q6P9F5	258
TRIM4	Q7Z4K8	759
TRIM4	Q8IWZ5	723
TRIM4	Q96LD4	638
TRIM4	Q8WV44	630
TRIM4	Q9H8W5	580
TRIM4	Q9C037	500
TRIM4	C9J1S8	452
TRIM4	P0CI25	452
TRIM4	P0CI26	452
TRIM4	A6NDI0	452
TRIM4	A6NCK2	446
TRIM4	Q96BQ3	446
TRIM4	Q96DX7	344
TRIM4	Q6P9F5	258
TRIM4	Q8IWZ4	224
TRIM39	Q9HCM9	518
TRIM38	O00635	465
TRIM37	O94972	964
TRIM36	Q9NQ86	728
TRIM35	Q9UPQ4	493
TRIM34	Q9BYJ4	488
TRIM33	Q9UPN9	1127
TRIM32	Q13049	653
TRIM31	Q9BZY9	425
TRIM3	Q9UPN9	1127
TRIM3	O94972	964
TRIM3	O75382	744
TRIM3	Q9NQ86	728
TRIM3	Q13049	653
TRIM3	Q9HCM9	518
TRIM3	Q9UPQ4	493
TRIM3	Q9BYJ4	488
TRIM3	O00635	465
TRIM3	Q9BZY9	425
TRIM29	Q14134	588
TRIM28	Q13263	835
TRIM27	P14373	513
TRIM26	Q12899	539
TRIM25	Q14258	630
TRIM24	O15164	1050
TRIM23	P36406	574
TRIM22	Q8IYM9	498
TRIM21	P19474	475
TRIM2	O15164	1050
TRIM2	Q13263	835
TRIM2	O15553	781
TRIM2	Q9C040	744
TRIM2	Q14258	630
TRIM2	Q14134	588
TRIM2	P36406	574
TRIM2	Q12899	539
TRIM2	P14373	513
TRIM2	Q8IYM9	498
TRIM2	P19474	475
TRIM17	Q9Y577	477
TRIM16L	Q309B1	348
TRIM16	O95361	564
TRIM16	Q309B1	348
TRIM15	Q9C019	465
TRIM14	Q14142	442
TRIM13	O60858	407
TRIM11	Q96F44	468
TRIM10	Q9UDY6	481
TRIL	Q7L0X0	811
TRIB3	Q96RU7	358
TRIB2	Q92519	343
TRIB1	Q96RU8	372
TRIAP1	O43715	76
TRHR	P34981	398
TRHDE	Q9UKU6	1069
TRH	Q07283	1943
TRH	Q9UKU6	1069
TRH	P34981	398
TRH	P20396	242
TRH	Q86Y79	214
TRH	Q9Y3E5	179
TRH	Q6GMV3	140
TREX2	Q9BQ50	236
TREX1	Q9NSU2	314
TRERF1	Q96PN7	1200
TREML4	Q6UXN2	200
TREML2	Q5T2D2	321
TREML1	Q86YW5	311
TREM2	Q9NZC2	230
TREM1	Q9NP99	234
TREH	O43280	583
TRDV1	A0A1B0GX56	115
TRDN	Q13061	729
TRDMT1	O14717	391
TRAT1	Q6PIZ9	186
TRARG1	Q8IXB3	177
TRAPPC9	Q96Q05	1148
TRAPPC8	Q9Y2L5	1435
TRAPPC6B	Q86SZ2	158
TRAPPC6A	O75865	159
TRAPPC5	Q8IUR0	188
TRAPPC4	Q9Y296	219
TRAPPC3L	Q5T215	181
TRAPPC3	Q5T215	181
TRAPPC3	O43617	180
TRAPPC2L	Q9UL33	140
TRAPPC2B	P0DI82	140
TRAPPC2	P0DI82	140
TRAPPC2	P0DI81	140
TRAPPC2	Q9UL33	140
TRAPPC13	A5PLN9	417
TRAPPC12	Q8WVT3	735
TRAPPC11	Q7Z392	1133
TRAPPC10	P48553	1259
TRAPPC1	P48553	1259
TRAPPC1	Q7Z392	1133
TRAPPC1	Q8WVT3	735
TRAPPC1	Q8WVR3	580
TRAPPC1	A5PLN9	417
TRAPPC1	Q9Y5R8	145
TRAP1	O60244	1454
TRAP1	O75448	989
TRAP1	Q9Y2W1	955
TRAP1	Q12931	704
TRAP1	Q58FF3	399
TRANK1	O15050	2925
TRAM2	Q15035	370
TRAM1L1	Q8N609	369
TRAM1	Q9Y6Q9	1424
TRAM1	Q15629	374
TRAM1	Q8N609	369
TRAK2	O60296	914
TRAK1	Q9UPV9	953
TRAIP	Q9BWF2	469
TRAFD1	O14545	582
TRAF7	Q6Q0C0	670
TRAF6	Q9Y4K3	522
TRAF5	O00463	557
TRAF4	Q9BUZ4	470
TRAF4	Q9Y448	316
TRAF3IP3	Q9Y228	551
TRAF3IP2	O43734	574
TRAF3IP1	Q8TDR0	691
TRAF3	Q8TDR0	691
TRAF3	O43734	574
TRAF3	Q13114	568
TRAF3	Q9Y228	551
TRAF2	Q12933	501
TRAF2	Q92844	425
TRAF1	Q13077	416
TRADD	Q15628	312
TRABD2B	A6NFA1	517
TRABD2A	Q86V40	505
TRABD	A6NFA1	517
TRABD	Q86V40	505
TRABD	Q9H4I3	376
TRA2B	P62995	288
TRA2A	Q13595	282
TPX2	Q9ULW0	747
TPTE2	Q6XPS3	522
TPTE2	Q5T6R2	138
TPTE	P56180	551
TPTE	Q6XPS3	522
TPTE	Q5T6R2	138
TPT1	P13693	172
TPT1	Q9HAU6	139
TPST2	O60704	377
TPST1	O60507	370
TPSG1	Q9NRR2	321
TPSD1	Q9BZJ3	242
TPSB2	P20231	275
TPSAB1	Q15661	275
TPRX1	Q8N7U7	411
TPRN	Q92932	1015
TPRN	Q16849	979
TPRN	Q4KMQ1	711
TPRKB	Q9Y3C4	175
TPRG1L	Q5T0D9	272
TPRG1	Q6ZUI0	275
