drug_id|name|cas|smiles|logP ALOGPS|logP ChemAxon|solubility ALOGPS|pKa (strongest acidic)|pKa (strongest basic)|drugname|drug_type|approved|experimental|illicit|investigational|nutraceutical|withdrawn|collated_partner_id|collated_gene_name|collated_target_type|collated_inhibitor|collated_inducer
DB00358|Mefloquine|53230-10-7|OC(C1CCCCN1)C1=CC(=NC2=C1C=CC=C2C(F)(F)F)C(F)(F)F|3.1|4.11|3.80e-02 g/l|13.79|9.46|b'Mefloquine'|small molecule|1|0|0|1|0|0|BE0000130 ; BE0000924 ; BE0002638 ; BE0002180 ; BE0002090 ; BE0000426 ; BE0001032|HBA1 ; ADORA2A ; CYP3A4 ; BCHE ; CYP19A1 ; ACHE ; ABCB1|protein ; protein ; enzyme ; enzyme ; enzyme ; enzyme ; transporter|0 ; 0 ; 1 ; 1 ; 1 ; 1 ; 1|0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
DB00359|Sulfadiazine|68-35-9|NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CC=N1|0.25|0.39|6.01e-01 g/l|6.99|2.01|b'Sulfadiazine'|small molecule|1|0|0|1|0|0|BE0002793 ; BE0002887 ; BE0002638|CYP2C9 ; CYP2C8 ; CYP3A4|enzyme ; enzyme ; enzyme|1 ; 0 ; 0|0 ; 0 ; 0
DB00360|Sapropterin|62989-33-7|[H][C@@]1(CNC2=C(N1)C(=O)NC(N)=N2)[C@@H](O)[C@H](C)O|-1.8|-2.3|2.03e+00 g/l|11.12|4.61|b'Sapropterin'|small molecule|1|0|0|1|0|0|BE0000753 ; BE0000263 ; BE0000614 ; BE0000121 ; BE0000262|PAH ; NOS3 ; TH ; TPH1 ; PTGS2|protein ; protein ; protein ; protein ; enzyme|0 ; 0 ; 0 ; 0 ; 0|0 ; 0 ; 0 ; 0 ; 1
DB00361|Vinorelbine|71486-22-1|[H][C@@]12N(C)C3=CC(OC)=C(C=C3[C@@]11CCN3CC=C[C@](CC)([C@@]13[H])[C@@]([H])(OC(C)=O)[C@]2(O)C(=O)OC)[C@]1(C[C@@]2([H])CN(CC(CC)=C2)CC2=C1NC1=CC=CC=C21)C(=O)OC|4.39|4.65|1.22e-02 g/l|10.87|8.66|b'Vinorelbine'|small molecule|1|0|0|1|0|0|BE0000143 ; BE0002638 ; BE0002363 ; BE0001032|TUBB ; CYP3A4 ; CYP2D6 ; ABCB1|protein ; enzyme ; enzyme ; transporter|1 ; 0 ; 1 ; 0|0 ; 0 ; 0 ; 0
DB00363|Clozapine|5786-21-0|CN1CCN(CC1)C1=NC2=CC(Cl)=CC=C2NC2=CC=CC=C12|3.67|3.4|1.86e-01 g/l|15.9|7.35|b'Clozapine'|small molecule|1|0|0|0|0|0|BE0000756 ; BE0000451 ; BE0000020 ; BE0000581 ; BE0000389 ; BE0000291 ; BE0000797 ; BE0000659 ; BE0000476 ; BE0000311 ; BE0000533 ; BE0000945 ; BE0000650 ; BE0000442 ; BE0000146 ; BE0000501 ; BE0000575 ; BE0000289 ; BE0000572 ; BE0000342 ; BE0000092 ; BE0000560 ; BE0000045 ; BE0000405 ; BE0000247 ; BE0000666 ; BE0000814 ; BE0002433 ; BE0002363 ; BE0002793 ; BE0002638 ; BE0003536 ; BE0003336 ; BE0002887 ; BE0003606 ; BE0003544 ; BE0003543 ; BE0001032|DRD2 ; HTR2A ; DRD1 ; DRD3 ; DRD4 ; HTR1A ; HTR1B ; HTR1D ; HTR1E ; HTR3A ; HTR2C ; HTR6 ; HTR7 ; HRH1 ; HRH4 ; ADRA1A ; ADRA1B ; ADRA2A ; ADRA2B ; ADRA2C ; CHRM1 ; CHRM2 ; CHRM3 ; CHRM4 ; CHRM5 ; CALY ; GSTP1 ; CYP1A2 ; CYP2D6 ; CYP2C9 ; CYP3A4 ; CYP2C19 ; CYP2A6 ; CYP2C8 ; FMO3 ; UGT1A4 ; CYP1A1 ; ABCB1|protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; enzyme ; enzyme ; enzyme ; enzyme ; enzyme ; enzyme ; enzyme ; enzyme ; enzyme ; enzyme ; transporter|0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 1 ; 0 ; 1 ; 1 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0|0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0
DB00364|Sucralfate|54182-58-0|O.O[Al](O)O.O[Al](O)OS(=O)(=O)OC[C@H]1O[C@@](COS(=O)(=O)O[Al](O)O)(O[C@H]2O[C@H](COS(=O)(=O)O[Al](O)O)[C@@H](OS(=O)(=O)O[Al](O)O)[C@H](OS(=O)(=O)O[Al](O)O)[C@H]2OS(=O)(=O)O[Al](O)O)[C@@H](OS(=O)(=O)O[Al](O)O)[C@@H]1OS(=O)(=O)O[Al](O)O|0.74|-5.9|7.74e-01 g/l|13.53|-3|b'Sucralfate'|small molecule|1|0|0|0|0|0|BE0009737 ; BE0001015 ; BE0000953 ; BE0009672|PGA5 ; FGF2 ; EGF ; FGA|protein ; protein ; protein ; protein|1 ; 0 ; 0 ; 0|0 ; 1 ; 0 ; 0
DB00365|Grepafloxacin|119914-60-2|CC1CN(CCN1)C1=C(F)C(C)=C2C(=O)C(=CN(C3CC3)C2=C1)C(O)=O|-0.12|0.12|6.32e-01 g/l|5.88|8.77|b'Grepafloxacin'|small molecule|1|0|0|1|0|1|BE0002433 ; BE0002638 ; BE0001032 ; BE0000785 ; BE0001066 ; BE0003647 ; BE0000106 ; BE0001069|CYP1A2 ; CYP3A4 ; ABCB1 ; ABCC1 ; SLC22A6 ; SLC22A2 ; SLC22A5 ; ABCC2|enzyme ; enzyme ; transporter ; transporter ; transporter ; transporter ; transporter ; transporter|1 ; 0 ; 1 ; 0 ; 0 ; 1 ; 1 ; 1|0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
DB00367|Levonorgestrel|797-63-7|[H][C@@]12CC[C@@](O)(C#C)[C@@]1(CC)CC[C@]1([H])[C@@]3([H])CCC(=O)C=C3CC[C@@]21[H]|3.25|3.66|5.83e-03 g/l|17.91|-1.5|b'Levonorgestrel'|small molecule|1|0|0|1|0|0|BE0000557 ; BE0000539 ; BE0000123 ; BE0000132 ; BE0000685 ; BE0000794 ; BE0002638 ; BE0002362|PGR ; SRD5A1 ; ESR1 ; AR ; SHBG ; NR3C1 ; CYP3A4 ; CYP3A5|protein ; protein ; protein ; protein ; protein ; protein ; enzyme ; enzyme|0 ; 1 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0|0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
DB00368|Norepinephrine|51-41-2|NC[C@H](O)C1=CC(O)=C(O)C=C1|-1.4|-0.68|1.25e+01 g/l|9.5|8.85|b'Norepinephrine'|small molecule|1|0|0|0|0|0|BE0000501 ; BE0000575 ; BE0000715 ; BE0000289 ; BE0000572 ; BE0000342 ; BE0000172 ; BE0000694 ; BE0001012 ; BE0000753 ; BE0000118 ; BE0004674 ; BE0000486 ; BE0003647 ; BE0003650 ; BE0000106 ; BE0003648 ; BE0003665|ADRA1A ; ADRA1B ; ADRA1D ; ADRA2A ; ADRA2B ; ADRA2C ; ADRB1 ; ADRB2 ; ADRB3 ; PAH ; SLC18A2 ; SLC18A1 ; SLC6A2 ; SLC22A2 ; SLC22A3 ; SLC22A5 ; SLC22A1 ; POU5F1|protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; transporter ; transporter ; transporter ; transporter ; transporter ; transporter|0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1 ; 1 ; 1 ; 0 ; 0|1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
DB00369|Cidofovir|113852-37-2|NC1=NC(=O)N(C[C@@H](CO)OCP(O)(O)=O)C=C1|-2.1|-3.4|1.15e+01 g/l|1.19|2.15|b'Cidofovir'|small molecule|1|0|0|0|0|0|BE0002193 ; BE0001066|TYMP ; SLC22A6|enzyme ; transporter|1 ; 1|0 ; 0
DB00373|Timolol|26839-75-8|[H][C@](O)(CNC(C)(C)C)COC1=NSN=C1N1CCOCC1|1.44|1.34|2.69e-01 g/l|14.08|9.76|b'Timolol'|small molecule|1|0|0|0|0|0|BE0000172 ; BE0000694 ; BE0002363 ; BE0003536 ; BE0001032|ADRB1 ; ADRB2 ; CYP2D6 ; CYP2C19 ; ABCB1|protein ; protein ; enzyme ; enzyme ; transporter|0 ; 0 ; 0 ; 0 ; 0|0 ; 0 ; 0 ; 0 ; 0
DB00374|Treprostinil|81846-19-7|[H][C@]12C[C@@H](O)[C@H](CC[C@@H](O)CCCCC)[C@@]1([H])CC1=C(C2)C(OCC(O)=O)=CC=C1|3.53|4|7.31e-03 g/l|3.76|-1.3|b'Treprostinil'|small molecule|1|0|0|1|0|0|BE0000475 ; BE0001007 ; BE0000110 ; BE0002793|PTGIR ; PPARD ; P2RY12 ; CYP2C9|protein ; protein ; protein ; enzyme|0 ; 0 ; 0 ; 0|1 ; 1 ; 1 ; 0
DB00376|Trihexyphenidyl|144-11-6|OC(CCN1CCCCC1)(C1CCCCC1)C1=CC=CC=C1|4.93|4.23|3.14e-03 g/l|13.84|9.32|b'Trihexyphenidyl'|small molecule|1|0|0|0|0|0|BE0000092 ; BE0000560 ; BE0000045 ; BE0000405 ; BE0000247|CHRM1 ; CHRM2 ; CHRM3 ; CHRM4 ; CHRM5|protein ; protein ; protein ; protein ; protein|0 ; 0 ; 0 ; 0 ; 0|0 ; 0 ; 0 ; 0 ; 0
DB00378|Dydrogesterone|152-62-5|[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@]1([H])[C@@]2([H])C=CC2=CC(=O)CC[C@@]12C|3.27|3.79|4.86e-03 g/l|19.29|-4.8|b'Dydrogesterone'|small molecule|1|0|0|1|0|1|BE0000557 ; BE0002638|PGR ; CYP3A4|protein ; enzyme|0 ; 0|1 ; 0
DB00380|Dexrazoxane|24584-09-6|C[C@@H](CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1|-1|-2.7|1.04e+01 g/l|11.2|3.6|b'Dexrazoxane'|small molecule|1|0|0|0|0|1|BE0000742 ; BE0002425|TOP2A ; TOP2B|protein ; protein|1 ; 0|0 ; 0
DB00381|Amlodipine|88150-42-9|CCOC(=O)C1=C(COCCN)NC(C)=C(C1C1=CC=CC=C1Cl)C(=O)OC|2.22|1.64|7.40e-03 g/l|19.12|9.45|b'Amlodipine'|small molecule|1|0|0|0|0|0|BE0000430 ; BE0002226 ; BE0000303 ; BE0003563 ; BE0000267 ; BE0000973 ; BE0000012 ; BE0009351 ; BE0002638 ; BE0003543 ; BE0003549 ; BE0002362 ; BE0002887 ; BE0002363 ; BE0001032|CACNA1C ; CACNA1B ; CACNB1 ; CACNA2D3 ; CA1 ; SMPD1 ; CACNA1I ; CACNA1B ; CYP3A4 ; CYP1A1 ; CYP2B6 ; CYP3A5 ; CYP2C8 ; CYP2D6 ; ABCB1|protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; enzyme ; enzyme ; enzyme ; enzyme ; enzyme ; enzyme ; transporter|1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 0 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1|0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
DB00383|Oxyphencyclimine|125-53-1|CN1CCCN=C1COC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1|2.89|2.62|5.67e-02 g/l|11.53|8.37|b'Oxyphencyclimine'|small molecule|1|0|0|0|0|0|BE0000045 ; BE0000092 ; BE0000560|CHRM3 ; CHRM1 ; CHRM2|protein ; protein ; protein|0 ; 0 ; 0|0 ; 0 ; 0
DB00384|Triamterene|396-01-0|NC1=NC(N)=C2N=C(C(N)=NC2=N1)C1=CC=CC=C1|1.21|1.11|9.63e-01 g/l|15.88|3.11|b'Triamterene'|small molecule|1|0|0|0|0|0|BE0000497 ; BE0000190 ; BE0000024 ; BE0000495 ; BE0002433|SCNN1G ; SCNN1A ; SCNN1B ; SCNN1D ; CYP1A2|protein ; protein ; protein ; protein ; enzyme|1 ; 1 ; 1 ; 1 ; 0|0 ; 0 ; 0 ; 0 ; 0
DB00385|Valrubicin|56124-62-0|[H][C@@]1(C[C@@](O)(CC2=C(O)C3=C(C(O)=C12)C(=O)C1=C(OC)C=CC=C1C3=O)C(=O)COC(=O)CCCC)O[C@H]1C[C@H](NC(=O)C(F)(F)F)[C@H](O)[C@H](C)O1|2.67|4.49|3.25e-02 g/l|8|-3.4|b'Valrubicin'|small molecule|1|0|0|0|0|0|BE0000742|TOP2A|protein|1|0
DB00387|Procyclidine|77-37-2|OC(CCN1CCCC1)(C1CCCCC1)C1=CC=CC=C1|4.13|3.79|9.84e-03 g/l|13.84|9.45|b'Procyclidine'|small molecule|1|0|0|0|0|0|BE0000092 ; BE0000560 ; BE0000405 ; BE0000045|CHRM1 ; CHRM2 ; CHRM4 ; CHRM3|protein ; protein ; protein ; protein|0 ; 0 ; 0 ; 0|0 ; 0 ; 0 ; 0
DB00388|Phenylephrine|59-42-7|CNC[C@H](O)C1=CC(O)=CC=C1|-0.69|-0.07|2.20e+01 g/l|9.07|9.69|b'Phenylephrine'|small molecule|1|0|0|0|0|0|BE0000501 ; BE0000575 ; BE0000715 ; BE0002198 ; BE0002196 ; BE0004767 ; BE0002433|ADRA1A ; ADRA1B ; ADRA1D ; MAOA ; MAOB ; SULT1A3 ; CYP1A2|protein ; protein ; protein ; enzyme ; enzyme ; enzyme ; enzyme|0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0|1 ; 1 ; 1 ; 0 ; 0 ; 0 ; 1
DB00390|Digoxin|20830-75-5|[H][C@]12CC[C@]3([H])[C@]([H])(C[C@@H](O)[C@]4(C)[C@H](CC[C@]34O)C3=CC(=O)OC3)[C@@]1(C)CC[C@@H](C2)O[C@H]1C[C@H](O)[C@H](O[C@H]2C[C@H](O)[C@H](O[C@H]3C[C@H](O)[C@H](O)[C@@H](C)O3)[C@@H](C)O2)[C@@H](C)O1|1.04|2.37|1.27e-01 g/l|7.15|-3|b'Digoxin'|small molecule|1|0|0|0|0|0|BE0000732 ; BE0003537 ; BE0001032 ; BE0003653 ; BE0000703 ; BE0003642 ; BE0003667 ; BE0003668 ; BE0001004|ATP1A1 ; CYP11A1 ; ABCB1 ; SLCO4C1 ; ABCB11 ; SLCO1A2 ; SLC51A ; SLC51B ; SLCO1B1|protein ; enzyme ; transporter ; transporter ; transporter ; transporter ; transporter ; transporter ; transporter|1 ; 1 ; 1 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1|0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
DB00391|Sulpiride|15676-16-1|CCN1CCCC1CNC(=O)C1=C(OC)C=CC(=C1)S(N)(=O)=O|1.2|0.22|5.37e-01 g/l|10.24|8.39|b'Sulpiride'|small molecule|1|0|0|1|0|0|BE0000756 ; BE0000581 ; BE0000322 ; BE0003625 ; BE0002180|DRD2 ; DRD3 ; CA2 ; CA3 ; BCHE|protein ; protein ; protein ; protein ; enzyme|0 ; 0 ; 1 ; 1 ; 1|0 ; 0 ; 0 ; 0 ; 0
DB00394|Beclomethasone dipropionate|5534-09-8|[H][C@@]12C[C@H](C)[C@](OC(=O)CC)(C(=O)COC(=O)CC)[C@@]1(C)C[C@H](O)[C@@]1(Cl)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C|3.69|4.43|2.08e-03 g/l|13.85|-3.3|b'Beclomethasone dipropionate'|small molecule|1|0|0|1|0|0|BE0000794 ; BE0002362 ; BE0002638 ; BE0001032 ; BE0001067 ; BE0001004 ; BE0003659|NR3C1 ; CYP3A5 ; CYP3A4 ; ABCB1 ; ABCG2 ; SLCO1B1 ; SLCO1B3|protein ; enzyme ; enzyme ; transporter ; transporter ; transporter ; transporter|0 ; 0 ; 0 ; 0 ; 1 ; 1 ; 1|1 ; 1 ; 1 ; 1 ; 0 ; 0 ; 0
DB00396|Progesterone|57-83-0|[H][C@@]12CC[C@H](C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C|3.58|4.15|5.46e-03 g/l|18.47|-4.8|b'Progesterone'|small molecule|1|0|0|0|0|0|BE0000557 ; BE0000123 ; BE0000668 ; BE0000344 ; BE0000632 ; BE0000925 ; BE0000794 ; BE0000132 ; BE0000685 ; BE0000792 ; BE0002362 ; BE0002793 ; BE0003612 ; BE0003536 ; BE0002638 ; BE0000344 ; BE0003543 ; BE0001111 ; BE0003336 ; BE0002363 ; BE0001032 ; BE0003647 ; BE0003648 ; BE0003650 ; BE0000703 ; BE0000785 ; BE0003644 ; BE0001004 ; BE0001067 ; BE0003659|PGR ; ESR1 ; NR3C2 ; CYP17A1 ; OPRK1 ; ORM1 ; NR3C1 ; AR ; SHBG ; ESR2 ; CYP3A5 ; CYP2C9 ; CYP3A7 ; CYP2C19 ; CYP3A4 ; CYP17A1 ; CYP1A1 ; CYP1B1 ; CYP2A6 ; CYP2D6 ; ABCB1 ; SLC22A2 ; SLC22A1 ; SLC22A3 ; ABCB11 ; ABCC1 ; SLC10A1 ; SLCO1B1 ; ABCG2 ; SLCO1B3|protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; enzyme ; enzyme ; enzyme ; enzyme ; enzyme ; enzyme ; enzyme ; enzyme ; enzyme ; enzyme ; transporter ; transporter ; transporter ; transporter ; transporter ; transporter ; transporter ; transporter ; transporter ; transporter|0 ; 1 ; 0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 1 ; 1 ; 0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 0|1 ; 1 ; 1 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 0 ; 1 ; 0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 1
DB00397|Phenylpropanolamine|14838-15-4|[H][C@@](C)(N)[C@]([H])(O)C1=CC=CC=C1|0.57|0.89|2.06e+01 g/l|13.9|9.37|b'Phenylpropanolamine'|small molecule|1|0|0|0|0|1|BE0000020 ; BE0000172 ; BE0000694 ; BE0004864 ; BE0002198|DRD1 ; ADRB1 ; ADRB2 ; ADRA2A ; MAOA|protein ; protein ; protein ; protein ; enzyme|0 ; 0 ; 0 ; 0 ; 1|0 ; 1 ; 1 ; 0 ; 0
DB00398|Sorafenib|284461-73-0|CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1|4.12|4.34|1.71e-03 g/l|11.55|2.03|b'Sorafenib'|small molecule|1|0|0|1|0|0|BE0000634 ; BE0000036 ; BE0000023 ; BE0000369 ; BE0000147 ; BE0000205 ; BE0000453 ; BE0002131 ; BE0002411 ; BE0000029 ; BE0002793 ; BE0002362 ; BE0003612 ; BE0002638 ; BE0003549 ; BE0002887 ; BE0002433 ; BE0003536 ; BE0002363 ; BE0003538 ; BE0003541 ; BE0001067 ; BE0001188 ; BE0001069 ; BE0001032 ; BE0004770 ; BE0001004|BRAF ; RAF1 ; FLT4 ; KDR ; FLT3 ; PDGFRB ; KIT ; FGFR1 ; RET ; FLT1 ; CYP2C9 ; CYP3A5 ; CYP3A7 ; CYP3A4 ; CYP2B6 ; CYP2C8 ; CYP1A2 ; CYP2C19 ; CYP2D6 ; UGT1A9 ; UGT1A1 ; ABCG2 ; ABCC4 ; ABCC2 ; ABCB1 ; RALBP1 ; SLCO1B1|protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; enzyme ; enzyme ; enzyme ; enzyme ; enzyme ; enzyme ; enzyme ; enzyme ; enzyme ; enzyme ; enzyme ; transporter ; transporter ; transporter ; transporter ; transporter ; transporter|1 ; 1 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 1 ; 1 ; 1 ; 0 ; 0 ; 1 ; 1 ; 1 ; 0 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 1 ; 0 ; 1|0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
DB00399|Zoledronic acid|118072-93-8|OC(CN1C=CN=C1)(P(O)(O)=O)P(O)(O)=O|-0.93|-3.9|3.27e+00 g/l|0.66|6.67|b'Zoledronic acid'|small molecule|1|0|0|0|0|0|BE0000776 ; BE0003570 ; BE0000785|FDPS ; GGPS1 ; ABCC1|protein ; protein ; transporter|1 ; 1 ; 0|0 ; 0 ; 0
DB00400|Griseofulvin|126-07-8|COC1=CC(OC)=C(Cl)C2=C1C(=O)[C@]1(O2)[C@H](C)CC(=O)C=C1OC|2.71|2.17|5.04e-02 g/l|17.69|-4.3|b'Griseofulvin'|small molecule|1|0|0|1|0|0|BE0004660 ; BE0002433 ; BE0002638|KRT12 ; CYP1A2 ; CYP3A4|protein ; enzyme ; enzyme|0 ; 0 ; 0|0 ; 1 ; 1
DB00402|Eszopiclone|138729-47-2|CN1CCN(CC1)C(=O)O[C@@H]1N(C(=O)C2=NC=CN=C12)C1=NC=C(Cl)C=C1|0.97|0.81|8.85e-01 g/l|13.04|6.89|b'Eszopiclone'|small molecule|1|0|0|1|0|0|BE0000795 ; BE0000381 ; BE0004797 ; BE0000523 ; BE0000471 ; BE0002638 ; BE0002887|GABRA1 ; GABRA2 ; GABRA1 ; GABRA3 ; GABRA5 ; CYP3A4 ; CYP2C8|protein ; protein ; protein ; protein ; protein ; enzyme ; enzyme|0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0|0 ; 1 ; 0 ; 1 ; 1 ; 0 ; 0
DB00404|Alprazolam|28981-97-7|CC1=NN=C2CN=C(C3=CC=CC=C3)C3=C(C=CC(Cl)=C3)N12|2.23|2.37|3.24e-02 g/l|18.3|5.08|b'Alprazolam'|small molecule|1|0|1|1|0|0|BE0000795 ; BE0000764 ; BE0000736 ; BE0004797 ; BE0000523 ; BE0000478 ; BE0000471 ; BE0000381 ; BE0002638 ; BE0003612 ; BE0002362 ; BE0002793|GABRA1 ; GABRA6 ; TSPO ; GABRA1 ; GABRA3 ; GABRA4 ; GABRA5 ; GABRA2 ; CYP3A4 ; CYP3A7 ; CYP3A5 ; CYP2C9|protein ; protein ; protein ; protein ; protein ; protein ; protein ; protein ; enzyme ; enzyme ; enzyme ; enzyme|0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0|0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
DB00409|Remoxipride|80125-14-0|CCN1CCC[C@H]1CNC(=O)C1=C(OC)C=CC(Br)=C1OC|2.94|2.34|1.27e-01 g/l|13.06|8.4|b'Remoxipride'|small molecule|1|0|0|0|0|1|BE0000756 ; BE0000389 ; BE0000581 ; BE0000451 ; BE0000156 ; BE0002363|DRD2 ; DRD4 ; DRD3 ; HTR2A ; SIGMAR1 ; CYP2D6|protein ; protein ; protein ; protein ; protein ; enzyme|0 ; 0 ; 0 ; 0 ; 0 ; 0|0 ; 0 ; 0 ; 0 ; 0 ; 0
DB00412|Rosiglitazone|122320-73-4|CN(CCOC1=CC=C(CC2SC(=O)NC2=O)C=C1)C1=CC=CC=N1|2.95|2.45|3.80e-02 g/l|6.84|6.23|b'Rosiglitazone'|small molecule|1|0|0|1|0|0|BE0000215 ; BE0000996 ; BE0000071 ; BE0001007 ; BE0000412 ; BE0000078 ; BE0000707 ; BE0002887 ; BE0002793 ; BE0000017 ; BE0002433 ; BE0003336 ; BE0002363 ; BE0002638 ; BE0001004 ; BE0000703|PPARG ; ACSL4 ; PPARA ; PPARD ; RXRA ; RXRB ; RXRG ; CYP2C8 ; CYP2C9 ; PTGS1 ; CYP1A2 ; CYP2A6 ; CYP2D6 ; CYP3A4 ; SLCO1B1 ; ABCB11|protein ; protein ; protein ; protein ; protein ; protein ; protein ; enzyme ; enzyme ; enzyme ; enzyme ; enzyme ; enzyme ; enzyme ; transporter ; transporter|0 ; 1 ; 0 ; 0 ; 0 ; 0 ; 0 ; 1 ; 0 ; 0 ; 1 ; 1 ; 1 ; 0 ; 1 ; 0|1 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
DB00413|Pramipexole|104632-26-0|CCCN[C@H]1CCC2=C(C1)SC(N)=N2|2.18|1.76|1.40e-01 g/l|17.66|10.31|b'Pramipexole'|small molecule|1|0|0|1|0|0|BE0000581 ; BE0000756 ; BE0000389 ; BE0000291 ; BE0000289 ; BE0003647 ; BE0003648 ; BE0003650|DRD3 ; DRD2 ; DRD4 ; HTR1A ; ADRA2A ; SLC22A2 ; SLC22A1 ; SLC22A3|protein ; protein ; protein ; protein ; protein ; transporter ; transporter ; transporter|0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0|1 ; 1 ; 1 ; 1 ; 1 ; 0 ; 0 ; 0
DB00414|Acetohexamide|968-81-0|CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1|1.72|1.81|4.83e-02 g/l|4.31|-7.4|b'Acetohexamide'|small molecule|1|0|0|1|0|1|BE0000644 ; BE0003074 ; BE0002793|KCNJ1 ; CBR1 ; CYP2C9|protein ; enzyme ; enzyme|1 ; 0 ; 0|0 ; 0 ; 0
DB00415|Ampicillin|69-53-4|[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=CC=C1)C(O)=O|0.88|-2|6.05e-01 g/l|3.24|7.44|b'Ampicillin'|small molecule|1|0|0|0|0|0|BE0001018 ; BE0001134 ; BE0003379 ; BE0000106 ; BE0001018 ; BE0001134 ; BE0000669|SLC15A1 ; SLC15A2 ; TEK ; SLC22A5 ; SLC15A1 ; SLC15A2 ; SLC16A1|protein ; protein ; protein ; transporter ; transporter ; transporter ; transporter|0 ; 0 ; 0 ; 1 ; 1 ; 1 ; 0|0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0
